"","id","trait","ncase","group_name","year","author","consortium","sex","pmid","population","unit","sample_size","build","ncontrol","category","subcategory","ontology","note","mr","nsnp","doi","coverage","study_design","priority","sd"
"34029","bbj-a-99","Chronic hepatitis B",1394,"public",2019,"Ishigaki K","NA","Males and Females",NA,"East Asian","NA",212453,"HG19/GRCh37",211059,"Binary","NA","NA","NA",1,8885805,NA,NA,NA,0,NA
"34030","ebi-a-GCST90001925","CD127 on CD28+ CD4-CD8- T cell",NA,"public",2020,"Orr<U+00F9> V","NA","NA",32929287,"European","NA",2918,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,14849609,NA,NA,NA,0,NA
"34031","ebi-a-GCST90001798","CD27 on CD24+ CD27+ B cell",NA,"public",2020,"Orr<U+00F9> V","NA","NA",32929287,"European","NA",3657,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,15048951,NA,NA,NA,0,NA
"34032","ieu-b-24","Age Of Smoking Initiation",NA,"public",2019,"Liu, M","GWAS and Sequencing Consortium of Alcohol and Nicotine use","Males and Females",30643251,"European","NA",341427,"HG19/GRCh37",NA,"Continuous","Behavioural","NA","NA",1,11894779,NA,NA,NA,1,NA
"34033","prot-c-3726_62_4","PTH",NA,"public",2019,"Suhre K","NA","Males and Females",28240269,"European","NA",NA,"HG19/GRCh37",NA,"Continuous","NA","EFO_0007937","name=Parathyroid hormone; chr=11; start=13492055; end=13496181; entrez=5741; uniprot=P01270",1,501428,NA,NA,NA,0,NA
"34034","met-d-XXL_VLDL_CE_pct","Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL",NA,"public",2020,"Borges CM","NA","Males and Females",NA,"European","NA",111631,"HG19/GRCh37",NA,"Continuous","NA","NA","NA",1,12321875,NA,NA,NA,0,NA
"34035","eqtl-a-ENSG00000223486","ENSG00000223486",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",4339,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,9922,NA,NA,NA,0,NA
"34036","ukb-e-1369_EAS","Beef intake",2616,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"East Asian","NA",2616,"HG19/GRCh37",0,"Continuous","NA","NA","NA",1,8259816,NA,NA,NA,0,NA
"34037","ubm-a-2896","a2009s rh S calcarine area",NA,"public",2018,"Elliott LT","NA","Males",30305740,"European","NA",8411,"HG19/GRCh37",NA,"Continuous","Psychiatric / neurological","NA","NA",1,11734354,NA,NA,NA,0,NA
"34038","prot-c-4254_6_2","NUDC3",NA,"public",2019,"Suhre K","NA","Males and Females",28240269,"European","NA",NA,"HG19/GRCh37",NA,"Continuous","NA","EFO_0007937","name=NudC domain-containing protein 3; chr=7; start=44379121; end=44490880; entrez=23386; uniprot=Q8IVD9",1,501428,NA,NA,NA,0,NA
"34039","prot-c-2790_54_2","NAP-2",NA,"public",2019,"Suhre K","NA","Males and Females",28240269,"European","NA",NA,"HG19/GRCh37",NA,"Continuous","NA","EFO_0007937","name=Neutrophil-activating peptide 2; chr=4; start=73987038; end=73988197; entrez=5473; uniprot=P02775",1,501428,NA,NA,NA,0,NA
"34040","eqtl-a-ENSG00000204620","ENSG00000204620",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",4994,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,10061,NA,NA,NA,0,NA
